id,archived,client_id,code,color,end_date,harvest_id,name,notes,start_date,tags,updated_at,updated_by_id
1915750,False,745542.0,,orange,,19964414.0,TIL,,,[],2019-02-07T13:27:09.427Z,399979
1915751,False,761648.0,,orange,,20024590.0,Language Models - Leiden,,,[],2019-02-07T13:27:09.455Z,399979
1956786,False,829222.0,,gray,,,UNAVAILABLE,"Use this Project to block time (in the delivery partner ""Placeholders"") that cannot be assigned to our projects (e.g. when this individual is assigned to non-Turing work).",,[],2019-03-05T09:40:44.532Z,399979
1958684,False,784816.0,,aqua,,,Wrattler,,,[],2019-03-08T16:17:15.260Z,399979
1969208,False,784816.0,,orange,2019-12-31,20428941.0,Auto DL,,2019-03-19,[],2019-03-13T14:15:56.696Z,460554
1969215,False,833514.0,,orange,2021-08-31,20428867.0,AI assisted diagnosis of children,,2019-09-01,[],2019-03-12T15:16:01.321Z,458589
1969228,False,833514.0,,orange,2021-08-31,20428882.0,All in One Cancer imaging optimisation,,2019-09-01,[],2019-03-12T15:28:16.754Z,458589
1969265,False,770999.0,,orange,2020-03-31,20429023.0,Biobank algorithm,,2018-11-01,[],2019-03-12T15:34:38.368Z,458589
1969290,False,761647.0,,orange,,20429107.0,CT dead pixel,,,[],2019-03-12T15:37:30.570Z,399979
1969303,False,833514.0,,orange,2021-08-31,20429132.0,Early dementia diagnosis,,2019-09-01,[],2019-03-12T15:42:20.299Z,458589
1969311,False,780936.0,,orange,2020-03-31,20429175.0,Fusion modelling- IDEA,,2019-04-01,[],2019-03-25T15:07:02.554Z,458589
1969338,False,780936.0,,orange,2020-03-31,20463792.0,Uncertainty in Government Modelling,,2019-04-01,[],2019-03-12T15:55:24.816Z,458589
1969344,False,784816.0,,orange,2019-12-31,20429253.0,Interpretable AI for health,,2019-10-01,[],2019-03-12T15:58:52.614Z,458589
1969354,False,770999.0,,orange,2019-12-31,20429276.0,Justice,,2019-04-01,[],2019-03-12T16:01:53.349Z,458589
1969358,False,784816.0,,orange,2020-09-30,20429979.0,"Leeds: Lomax, Malleson, Heppenstall",,2019-04-01,[],2019-03-12T16:04:41.841Z,458589
1969363,False,769467.0,,orange,2021-03-31,20430001.0,Longitudinal time series,,2019-09-01,[],2019-03-12T16:07:18.076Z,458589
1969372,False,784816.0,,orange,2019-07-31,20430963.0,Micro-location analytics,,2019-04-01,[],2019-03-28T11:04:38.908Z,460554
1969375,False,784816.0,,orange,2020-04-30,20431088.0,Machine learning for cancer,,2019-10-01,[],2019-03-12T16:14:40.330Z,458589
1969381,False,770999.0,,orange,,20431197.0,NHS Digital (Do Not Attend),,,[],2019-03-12T16:15:35.120Z,399979
1969382,False,780936.0,,orange,2019-10-31,20431266.0,Retinopathy,,2019-04-01,[],2019-03-12T16:17:52.836Z,458589
1969390,False,784816.0,,orange,,20431367.0,Streaming healthcare analytics,,,[],2019-03-12T16:18:55.377Z,399979
1969399,False,770999.0,,orange,2019-03-31,20431406.0,Synthetic data,,2019-01-01,[],2019-03-12T16:24:23.808Z,458589
1969404,False,770999.0,,orange,,20431444.0,Turing ML toolbox,,,[],2019-03-12T16:23:38.725Z,399979
1969408,False,784816.0,,orange,2019-12-31,20431477.0,Urban systems resilience,,2019-10-01,[],2019-03-12T16:26:38.892Z,458589
2000710,False,745540.0,,orange,,20684616.0,Wimbledon Planner,,,[],2019-04-01T11:05:13.535Z,399979
